ID;Categoría;Cliente escribe (disparador);Respuesta del bot;Tipo;Flag / Estado;Notas para pulir
11;Entrada;"Ref 99 (referencia que no existe)";"Esa referencia no la encuentro en el catálogo 🙈 Mira los modelos disponibles con fotos y precios aquí: [link] Y si buscas algo puntual, cuéntame y un asesor te confirma 📲";Plantilla fija;ACTIVO;
12;Talla;"40 (talla europea directa)";"¡Talla 40 anotada! ✅ Ahora regálame en un solo mensaje los datos de envío: *Nombre completo* *Dirección* *Ciudad* *Teléfono de contacto*";Plantilla fija;ACTIVO;
13;Talla;"calzo 38 nacional";"Para darte la talla europea exacta 👟, dime: esa *38 nacional* ¿es para *hombre* o para *mujer*?";Plantilla fija;ACTIVO;Conversión: dama +1, hombre +2
14;Talla;"hombre (tras dar talla nacional)";"¡Listo! Esa equivale a la *talla 40* europea 👟 (la que manejamos). ¡Anotada! ✅ Ahora regálame en un solo mensaje los datos de envío: …";Plantilla fija;ACTIVO;
15;Talla;"no sé mi talla";"[IA] Tranquilo 😊 Mide tu pie del talón al dedo más largo en cm y me dices cuánto te dio, yo te confirmo la talla.";IA (asistente);FLAG BOT_ROBUSTEZ;Con la medida en cm el código convierte a talla
16;Talla;"me dio 26 cm";"¡Perfecto! 📏 Esa medida corresponde aprox. a la *talla 41* europea 👟 ¡Anotada! ✅ Ahora regálame los datos de envío: …";Plantilla fija;FLAG BOT_TALLAS_V2;
17;Talla;"talla inválida (60, 'no sé', texto raro)";"Manejamos tallas de la *35 a la 45* 👟. Escríbeme solo el número (ej: *40*). Si la usas *nacional* o *US*, dime cuál y para *hombre o mujer* y te confirmo la europea. O escribe *cancelar* para empezar de nuevo.";Plantilla fija;ACTIVO;PENDIENTE decisión: web topó en EU 44, bot sigue diciendo 45
18;Talla;"¿tienen la 42? (pregunta, no afirma)";"[IA] responde la pregunta SIN anotar la talla (solo la anota si dice que ESA es su talla)";IA (asistente);FLAG;El bot no adivina stock por talla: ofrece que un asesor confirme
19;Talla;"repite el paso 2+ veces sin avanzar";"Sigo aquí 🙌 Solo necesito tu *talla* (35 a la 45) 👟. Si prefieres, escribe *catálogo* para ver otros modelos o *asesor* y te atiende una persona.";Plantilla fija;FLAG BOT_ANTIBUCLE;Tras N vueltas → handoff automático
20;Compra;"puedo llevar 2?";"¡Claro que sí! 🙌 Puedes llevar los pares que quieras — y si llevas *2 pares* te dejo un *15% en todo el pedido* 🔥 Escríbeme *""2 pares""* y te lo anoto.";Plantilla fija;FLAG BOT_FLUIDEZ;PELIGRO detectado: 15% ofrecido y no aplicado en un caso real — verificar total
21;Compra;"2 pares";"¡De una, *2 pares*! 🙌 El total sería *$659.800*.";Plantilla fija;ACTIVO;
22;Compra;"¿lo tienes en rojo? (otro color)";"Esa referencia solo la manejamos en el color de la foto 🙏. Si buscas otro color, aquí tienes el catálogo completo 👇 [link] Si te quedas con esta, dime tu *talla* 👟.";Plantilla fija;FLAG BOT_COLOR_CATALOGO;El bot no inventa colores
23;Compra;"mejor muéstrame la Ref 12 (cambio a mitad de pedido)";"¡Claro que sí! 😊 Cambiamos tu pedido a esta 👇 [ficha Ref 12]";Plantilla fija;FLAG BOT_FLUIDEZ_RECONDUCE;No pierde el flujo
24;Compra;"qué más tienen / muéstramelos (a mitad de pedido)";"Míralo con fotos y precios aquí y elige el tuyo 👇 [link]";Plantilla fija;FLAG BOT_CATALOGO_PIDE;Sin perder el pedido en curso
25;Datos;"Juan Pérez, Cra 10 # 20-30, Medellín, 3001234567";"¡Listo! 🙌 Envío a *Medellín* anotado 📦 Total a pagar: *$329.900* (envío incluido 🚚) ¿Cómo prefieres pagar? [lista de métodos]";Plantilla fija;ACTIVO;Acuse con la ciudad = se siente leído
26;Datos;"datos incompletos (falta dirección/teléfono)";"Casi listo 🙌 Para el envío me falta: *dirección y teléfono*. Regálame todo en un solo mensaje: *nombre completo, dirección, ciudad y teléfono*.";Plantilla fija;FLAG BOT_DATOS_V2;PELIGRO: aceptó teléfono "33" — falta validar 10 dígitos y ciudad real
27;Datos;"repite el paso sin dar datos";"Para enviarte tu pedido solo me falta en un mensaje: *nombre, dirección, ciudad y teléfono* 🙌 O escribe *asesor* y te ayuda una persona.";Plantilla fija;FLAG;HUECO #2: dentro de datos, 'asesor'/'cancelar'/preguntas hoy se IGNORAN
28;Pago;"[toca Tarjeta o PSE (Wompi)]";"¡Listo! 💳 Te comparto un *link de pago seguro por Wompi* para que pagues con tarjeta, PSE o Nequi por *$329.900*: 👉 [link] Apenas se acredite el pago, tu pedido queda *confirmado automáticamente* y te avisamos por aquí 🎉. Si prefieres otro medio, escribe *cancelar* y volvemos a empezar.";Plantilla fija;ACTIVO PRODUCCIÓN;
29;Pago;"[el pago Wompi se acredita]";"¡Pago confirmado! ✅🎉 Ya recibimos tu pago de la *Ref 51* (talla 40) y estamos *alistando tu pedido* con todo el cuidado 📦. Va empacado en su *caja original* y bien protegido. Apenas salga te compartimos la *guía de rastreo*. ¡Gracias por confiar en VarMan Crew! 👟🧡";Plantilla fija;ACTIVO;Lo dispara el webhook, automático
30;Pago;"[toca Nequi / Daviplata / Bre-B]";"Pagas por *Nequi* a este número/llave: 👉 [número] Total: *$329.900* Cuando hagas el pago, mándame la *foto del comprobante* aquí mismo 📸 y dejamos tu pedido confirmado.";Plantilla fija;ACTIVO;Con QR configurado van 3 mensajes (QR → dato → total)
31;Pago;"[manda foto del comprobante]";"¡Pedido recibido! 🎉 *Referencia 51* · Talla 40 · $329.900 Vamos a verificar tu pago y te confirmamos el envío por aquí mismo. ¡Gracias por comprar en VarMan Crew! 👟";Plantilla fija;ACTIVO;Aviso al 320 con el comprobante guardado
32;Pago;"no manda el comprobante";"Cuando puedas, mándame la *foto del comprobante* 📸 para confirmar tu pedido. Si quieres cambiar algo, escribe *cancelar*.";Plantilla fija;ACTIVO;Reintento: "…Si algo se complicó, escribe *asesor* y te ayudamos."
33;Pago;"[elige contra entrega siendo de Bogotá]";"¡Listo! 🛵 Tu pedido de la *Ref 51* queda con *pago contra entrega* en Bogotá por *$329.900*. Lo alistamos y coordinamos la entrega contigo; pagas cuando lo recibas. ¡Gracias por comprar en VarMan Crew! 👟";Plantilla fija;ACTIVO;La opción solo aparece si los datos dicen Bogotá
34;Pago;"quiero contra entrega (fuera de Bogotá)";"El *pago contra entrega* lo manejamos solo en *Bogotá* 🛵. Para tu ciudad el envío va con pago anticipado 👇";Plantilla fija;ACTIVO;MEJORAR con la fila 43 (plantilla propuesta con ganchos de confianza)
35;Pago;"[Wompi falla al generar el link]";"Uy, no pude generar el link de pago en este momento 🙈. Puedes pagar por otro medio 👇 [botones Nequi/Daviplata/Bre-B]";Plantilla fija;ACTIVO;
36;Objeción;"¿son originales?";"[IA] Son calidad 1.1, alta gama: lucen espectaculares y aguantan el uso diario, a muy buen precio 🔥 ¿Te muestro el catálogo?";IA (prompt);ACTIVO;Regla: EN POSITIVO, sin negar ni afirmar autenticidad
37;Objeción;"muy caro / hacen rebaja?";"[IA] El envío ya va incluido en el precio 🙌 y por ser tu primera compra te dejo un 10% si cerramos hoy, ¿elegimos el método de pago?";IA (prompt);ACTIVO;Tope: 10% con razón, 15% por 2 pares, NUNCA más
38;Objeción;"¿cuánto tarda el envío? / ¿envían a Cali?";"[IA] Envíos a todo Colombia con envío incluido: 1-3 días hábiles en ciudades principales, 2-5 en zonas alejadas. Si el pago entra antes del mediodía, se despacha el mismo día.";IA (prompt);ACTIVO;HUECO #2: dentro de datos/pago esta pregunta hoy se ignora
39;Objeción;"¿tienen tienda física?";"[IA] Somos tienda virtual — con ganchos de confianza (guía de rastreo, pago seguro Wompi, redes).";IA (prompt);ACTIVO;
40;Objeción;"¿y si no me sirven / no me gustan?";"[IA v2] Tranquilo, antes de enviar te grabo un video de tu pedido con tu nombre 📦 ¿Me pasas los datos y lo dejamos listo?";IA (asistente v2);FLAG;DEFINIR política de cambios explícita — hoy el prompt no la tiene
41;Objeción;"¿el precio? (de una ref concreta, a mitad de pedido)";"[Debe dar LA CIFRA de la ref activa]";—;HUECO #1;≈20 leads de pauta enmudecieron en la ficha sin precio; caso real preguntó 6 veces y canceló
42;Objeción;"¿cómo sé que no me van a robar? / desconfianza";"[IA] Gancho de confianza (máx 1 por mensaje): pago seguro Wompi / video del pedido con tu nombre / guía de rastreo / contra entrega en Bogotá.";IA (asistente v2);FLAG;
43;Objeción;"PROPUESTA contra entrega nacional (reemplaza fila 34)";"¡Claro que te entiendo! 🙌 El pago contra entrega lo manejamos *solo en Bogotá*, porque ahí entregamos con logística propia el mismo día. Para el resto del país trabajamos con pago anticipado 100% seguro por *Wompi (la plataforma de pagos de Bancolombia)*: Nequi, PSE, Bancolombia o tarjeta, con tu comprobante oficial de inmediato. Y para que compres tranquilo: ✅ te enviamos la *guía de la transportadora* apenas despachamos ✅ *envío GRATIS* a todo el país ✅ somos tienda establecida: varmancrew.com y nuestras redes. ¿Te comparto el link de pago para apartar tu talla? 👟";Propuesta;POR APROBAR;Estructura: validar → razón honesta → 3 pruebas de confianza → cierre. Nunca "por seguridad no"
44;Difícil;"asesor / una persona real / no me entiendes";"¡Claro! Ya le avisé a nuestro equipo 😊. En un momento te escriben desde el +57 320 225 0619.";Plantilla fija;ACTIVO;Aviso al 320. HUECO #2: en datos/pago NO dispara hoy
45;Difícil;"hola (a mitad de un pedido)";"¡Hola de nuevo! 👋 Seguimos con tu pedido de la *Ref 51* 😊 Terminémoslo 👇";Plantilla fija;FLAG BOT_SALUDO_NO_REINICIA;Antes reiniciaba y se perdía el pedido
46;Difícil;"jajaja / letras sueltas / tema ajeno";"[IA v2] Tranquilo 😊 dime qué número calzas (de la 35 a la 45) y seguimos con tu pedido.";IA (asistente v2);FLAG;1 línea amable + volver a pedir SOLO el dato del paso, sin regañar
47;Difícil;"[nota de voz / video / sticker]";"Por aquí te leo mejor 🙌 ¿Me lo escribes en un mensajito de texto? Así te ayudo de una 😊";Plantilla fija;FLAG BOT_FLUIDEZ_RECONDUCE;La sesión no se toca
48;Difícil;"cancelar";"Listo, cancelé el pedido 👍. Cuando quieras retomar, escribe *hola* y te muestro el catálogo.";Plantilla fija;ACTIVO;HUECO #2: en datos/pago hoy se ignora
49;Difícil;"cancelar (tras recibir solo el link, sin pedido)";"¡Listo! 👍 Cuando quieras ver el catálogo de nuevo, escríbeme *hola* y te paso el link de una 😊";Plantilla fija;ACTIVO;Se despide sin hablar de un pedido que no existe
50;Difícil;"[escribe muy rápido, anti-spam]";"Me estás escribiendo muy rapidito 🙈 Dame un momentico y seguimos, ¿va?";Plantilla fija;ACTIVO;Se envía UNA sola vez
51;Difícil;"[bot pausado por el dueño]";"¡Hola! 🙌 En este momento te estamos atendiendo en persona. Ya te escribimos por aquí en un momento, gracias por la paciencia.";Plantilla fija;ACTIVO;
52;Difícil;"[error técnico]";"Ups, tuvimos un problemita técnico 🙈. Escríbeme *hola* en un momento y seguimos, o si es urgente te atendemos en el +57 320 225 0619.";Plantilla fija;ACTIVO;
53;Post-venta;"¿cómo va mi pedido?";"📦 Tu último pedido: *Referencia 51* · Talla 40 · $329.900 Hecho el 20/07/2026 Estado: *enviado* ¡Va en camino! 🚚 Pronto te llega.";Plantilla fija;ACTIVO;Explicación por estado: verificando / link pendiente / alistando / en camino / entregado / cancelado
54;Post-venta;"pregunta por pedido y no tiene";"No encontré pedidos tuyos por aquí 🙈. Si quieres hacer uno, escribe *hola* y te muestro el catálogo 👟.";Plantilla fija;ACTIVO;
55;Post-venta;"[la app registra la guía de envío]";"📦 ¡Tu pedido va en camino! Transportadora: *Interrapidísimo* Guía: *240001234567* Cualquier cosa nos escribes por aquí 😊";Plantilla fija;ACTIVO;La dispara la app
56;Post-venta;"[dejó el pedido a medias — 1 recordatorio]";"¡Hola Juan! 👟 Vi que dejaste tu pedido de la *Ref 51* talla 40 a medias. ¿Te ayudo a terminarlo? El total sería *$329.900*. Si ya no lo quieres, todo bien — escríbeme *cancelar* y listo.";Plantilla fija;ACTIVO;UN solo recordatorio por sesión
57;Post-venta;"[~2h después de mandar el link del catálogo]";"¡Hola Juan! 👟 ¿Pudiste hacer tu compra en la web? Si algo se te complicó o te quedó alguna duda, escríbeme por aquí y con gusto te ayudo a dejar tu pedido listo 😊 [link]";Plantilla fija;ACTIVO (CW1);Sujeto a ventana de 24h; el barrido NO ve estos mensajes (auditar en n8n/Firestore)
58;Post-venta;"[la app marca entregado → reseña]";"¡Gracias por tu compra, Juan! 🙌 Esperamos que tus Adidas EQT te encanten. ¿Nos regalas una reseña? Nos ayuda un montón 🧡 → [link]";Plantilla fija;ACTIVO;Solo si existe LINK_RESENAS_FB
59;Post-venta;"me avisan cuando llegue la 40 de la ref 05?";"¡Listo! 📝 Te anoto para avisarte cuando llegue la *Ref 05* en talla 40. Apenas la tengamos te escribimos por aquí 🙌";Plantilla fija;ACTIVO;Si no dice cuál ref: pide el formato "avísame de la ref 05 talla 40"
60;Post-venta;"pide avisar sin decir ref";"¡Claro que te avisamos! 😊 Solo dime de cuál referencia: escríbeme por ejemplo *""avísame de la ref 05 talla 40""*.";Plantilla fija;ACTIVO;

